shelf_id,floor,x,y
Shelf_327,2F,23,12
Shelf_328,3F,54,8
Shelf_329,3F,25,2
Shelf_330,3F,33,4
Shelf_331,3F,35,30
Shelf_332,2F,8,14
Shelf_333,2F,45,17
Shelf_334,2F,13,12
Shelf_335,2F,22,4
Shelf_336,2F,15,2
Shelf_337,3F,30,12
Shelf_338,3F,52,8
Shelf_339,3F,16,1
Shelf_340,2F,30,6
Shelf_341,3F,55,18
Shelf_342,3F,15,13
Shelf_343,3F,29,23
Shelf_344,2F,59,8
Shelf_345,2F,11,13
Shelf_346,2F,18,12
Shelf_347,3F,9,9
Shelf_348,2F,27,27
Shelf_349,3F,47,21
Shelf_350,2F,27,9
Shelf_351,2F,22,16
Shelf_352,3F,14,21
Shelf_353,2F,24,21
Shelf_354,3F,33,1
Shelf_355,3F,41,28
Shelf_356,2F,45,2
Shelf_357,3F,10,10
Shelf_358,3F,24,1
Shelf_359,2F,55,13
Shelf_360,3F,16,23
Shelf_361,2F,44,5
Shelf_362,3F,49,13
Shelf_363,2F,8,17
Shelf_364,2F,9,1
Shelf_365,3F,48,23
Shelf_366,3F,33,24
Shelf_367,2F,11,23
Shelf_368,2F,47,9
Shelf_369,2F,19,10
Shelf_370,2F,27,18
Shelf_371,3F,12,17
Shelf_372,3F,46,12
Shelf_373,3F,49,2
Shelf_374,2F,32,18
Shelf_375,3F,22,20
Shelf_376,3F,40,12
Shelf_377,2F,38,2
Shelf_378,3F,26,10
Shelf_379,2F,49,17
Shelf_380,2F,19,9
Shelf_381,3F,59,10
Shelf_382,3F,40,13
Shelf_383,3F,52,17
Shelf_384,2F,50,9
Shelf_385,2F,57,10
Shelf_386,3F,52,6
Shelf_387,3F,44,17
Shelf_388,3F,9,12
Shelf_389,3F,11,20
Shelf_390,2F,42,26
Shelf_391,3F,9,20
Shelf_392,3F,59,5
Shelf_393,2F,20,16
Shelf_394,2F,41,6
Shelf_395,2F,21,23
Shelf_396,2F,26,12
Shelf_397,3F,36,1
Shelf_398,3F,22,12
Shelf_399,3F,11,6
Shelf_400,2F,32,17
Shelf_401,3F,36,17
Shelf_402,3F,12,21
Shelf_403,3F,16,16
Shelf_404,2F,27,10
Shelf_405,2F,40,9
Shelf_406,3F,20,4
Shelf_407,3F,44,14
Shelf_408,3F,53,20
Shelf_409,2F,44,10
Shelf_410,2F,44,13
Shelf_411,2F,54,21
Shelf_412,3F,42,28
Shelf_413,3F,14,23
Shelf_414,3F,24,18
Shelf_415,2F,14,17
Shelf_416,3F,18,1
Shelf_417,2F,39,5
Shelf_418,3F,28,14
Shelf_419,2F,37,5
Shelf_420,2F,29,17
Shelf_421,3F,52,10
Shelf_422,2F,34,30
Shelf_423,3F,14,12
Shelf_424,3F,52,5
Shelf_425,3F,53,14
Shelf_426,2F,26,10
Shelf_427,2F,31,18
Shelf_428,2F,12,24
Shelf_429,2F,29,6
Shelf_430,2F,37,16
Shelf_431,2F,20,8
Shelf_432,2F,28,16
Shelf_433,3F,11,23
Shelf_434,2F,46,24
Shelf_435,2F,20,4
Shelf_436,2F,31,28
Shelf_437,3F,28,2
Shelf_438,2F,12,14
Shelf_439,2F,42,2
Shelf_440,3F,24,17
Shelf_441,3F,22,6
Shelf_442,2F,50,18
Shelf_443,2F,37,10
Shelf_444,3F,12,20
Shelf_445,2F,22,13
Shelf_446,3F,30,17
Shelf_447,3F,37,21
Shelf_448,2F,15,23
Shelf_449,2F,28,28
Shelf_450,2F,51,2
Shelf_451,3F,33,17
Shelf_452,3F,40,21
Shelf_453,3F,36,4
Shelf_454,3F,18,21
Shelf_455,2F,29,27
Shelf_456,2F,45,4
Shelf_457,2F,15,24
Shelf_458,3F,56,4
Shelf_459,3F,54,18
Shelf_460,2F,29,21
Shelf_461,3F,37,17
Shelf_462,2F,29,1
Shelf_463,2F,41,10
Shelf_464,3F,23,21
Shelf_465,3F,20,14
Shelf_466,3F,15,17
Shelf_467,3F,56,5
Shelf_468,2F,41,1
Shelf_469,3F,41,4
Shelf_470,2F,49,6
Shelf_471,3F,19,8
Shelf_472,2F,46,6
Shelf_473,3F,50,10
Shelf_474,3F,8,10
Shelf_475,3F,52,14
Shelf_476,3F,52,16
Shelf_477,3F,27,16
Shelf_478,2F,47,6
Shelf_479,2F,23,24
Shelf_480,3F,37,8
Shelf_481,3F,44,1
Shelf_482,3F,58,2
Shelf_483,2F,57,21
Shelf_484,2F,26,1
Shelf_485,2F,39,8
Shelf_486,2F,30,24
Shelf_487,2F,32,21
Shelf_488,3F,47,10
Shelf_489,3F,37,28
Shelf_490,3F,24,2
Shelf_491,3F,46,18
Shelf_492,3F,13,20
Shelf_493,2F,39,13
Shelf_494,2F,54,13
Shelf_495,2F,38,4
Shelf_496,2F,33,24
Shelf_497,2F,56,10
Shelf_498,3F,42,1
Shelf_499,2F,52,14
Shelf_500,2F,35,28
Shelf_501,2F,31,24
Shelf_502,3F,28,12
Shelf_503,3F,8,24
Shelf_504,3F,15,1
Shelf_505,3F,35,13
Shelf_506,2F,9,16
Shelf_507,2F,24,17
Shelf_508,2F,47,5
Shelf_509,3F,11,2
Shelf_510,3F,54,5
Shelf_511,3F,33,12
Shelf_512,2F,35,4
Shelf_513,2F,29,18
Shelf_514,3F,54,16
Shelf_515,2F,31,8
Shelf_516,3F,35,17
Shelf_517,3F,37,20
Shelf_518,2F,8,2
Shelf_519,2F,50,24
Shelf_520,2F,12,23
Shelf_521,2F,53,12
Shelf_522,3F,50,20
Shelf_523,3F,31,16
Shelf_524,2F,44,23
Shelf_525,3F,57,13
Shelf_526,2F,38,16
Shelf_527,2F,20,6
Shelf_528,3F,29,30
Shelf_529,3F,39,17
Shelf_530,2F,59,23
Shelf_531,3F,26,27
Shelf_532,2F,48,6
Shelf_533,3F,53,8
Shelf_534,2F,23,2
Shelf_535,2F,46,20
Shelf_536,3F,45,21
Shelf_537,3F,54,9
Shelf_538,2F,11,6
Shelf_539,2F,40,13
Shelf_540,2F,46,13
Shelf_541,3F,41,9
Shelf_542,2F,20,23
Shelf_543,3F,19,5
Shelf_544,2F,13,16
Shelf_545,2F,20,24
Shelf_546,2F,24,8
Shelf_547,2F,13,18
Shelf_548,3F,59,8
Shelf_549,2F,32,8
Shelf_550,2F,26,26
Shelf_551,3F,32,2
Shelf_552,2F,57,1
Shelf_553,3F,14,6
Shelf_554,3F,45,6
Shelf_555,2F,28,8
Shelf_556,2F,52,23
Shelf_557,3F,32,16
Shelf_558,3F,31,1
Shelf_559,2F,47,18
Shelf_560,3F,28,26
Shelf_561,3F,21,24
Shelf_562,3F,50,24
Shelf_563,3F,24,6
Shelf_564,2F,28,12
Shelf_565,2F,53,10
Shelf_566,3F,44,18
Shelf_567,3F,35,23
Shelf_568,2F,45,16
Shelf_569,3F,20,5
Shelf_570,3F,25,1
Shelf_571,2F,19,5
Shelf_572,3F,46,1
Shelf_573,2F,42,30
Shelf_574,3F,14,16
Shelf_575,3F,45,13
Shelf_576,3F,59,15
Shelf_577,2F,27,14
Shelf_578,3F,42,18
Shelf_579,2F,11,2
Shelf_580,3F,36,26
Shelf_581,2F,20,9
Shelf_582,3F,20,18
Shelf_583,3F,27,5
Shelf_584,3F,37,2
Shelf_585,2F,31,16
Shelf_586,3F,10,8
Shelf_587,2F,11,12
Shelf_588,2F,12,17
Shelf_589,3F,13,9
Shelf_590,2F,49,8
Shelf_591,3F,40,24
Shelf_592,2F,29,12
Shelf_593,3F,32,17
Shelf_594,3F,13,10
Shelf_595,3F,59,9
Shelf_596,2F,59,4
Shelf_597,2F,31,9
Shelf_598,2F,57,23
Shelf_599,3F,39,26
Shelf_600,3F,26,21
Shelf_601,3F,30,10
Shelf_602,2F,38,26
Shelf_603,2F,14,8
Shelf_604,2F,53,13
Shelf_605,2F,23,14
Shelf_606,2F,15,6
Shelf_607,3F,54,23
Shelf_608,2F,59,5
Shelf_609,2F,52,8
Shelf_610,3F,27,17
Shelf_611,2F,56,14
Shelf_612,2F,50,17
Shelf_613,3F,56,12
Shelf_614,3F,41,27
Shelf_615,2F,48,20
Shelf_616,2F,35,9
Shelf_617,2F,59,21
Shelf_618,3F,36,21
Shelf_619,3F,48,17
Shelf_620,3F,19,2
Shelf_621,3F,47,4
Shelf_622,2F,33,14
Shelf_623,3F,29,20
Shelf_624,3F,23,13
Shelf_625,3F,26,20
Shelf_626,2F,14,21
Shelf_627,3F,9,18
Shelf_628,2F,36,26
Shelf_629,3F,12,10
Shelf_630,3F,8,23
Shelf_631,2F,35,21
Shelf_632,2F,48,18
Shelf_633,2F,23,21
Shelf_634,2F,10,4
Shelf_635,2F,31,10
Shelf_636,3F,29,10
Shelf_637,3F,9,24
Shelf_638,3F,20,24
Shelf_639,3F,47,17
Shelf_640,2F,55,16
Shelf_641,3F,35,12
Shelf_642,3F,44,6
Shelf_643,3F,50,1
Shelf_644,2F,45,12
Shelf_645,3F,44,9
Shelf_646,3F,15,4
Shelf_647,2F,33,2
Shelf_648,3F,20,12
Shelf_649,2F,44,9
Shelf_650,3F,40,2
Shelf_651,3F,21,6
Shelf_652,3F,22,24
Shelf_653,3F,49,5
Shelf_654,2F,50,20
Shelf_655,3F,55,13
Shelf_656,2F,52,2
Shelf_657,2F,46,17
Shelf_658,2F,9,20
Shelf_659,2F,18,20
Shelf_660,3F,8,17
Shelf_661,3F,10,24
Shelf_662,3F,36,16
Shelf_663,3F,33,13
Shelf_664,3F,35,24
Shelf_665,2F,32,28
Shelf_666,3F,26,26
Shelf_667,2F,29,20
Shelf_668,3F,53,2
Shelf_669,2F,29,10
Shelf_670,3F,16,13
Shelf_671,2F,32,20
Shelf_672,3F,31,23
Shelf_673,2F,41,21
Shelf_674,2F,36,12
Shelf_675,3F,41,18
Shelf_676,3F,44,8
Shelf_677,2F,55,8
Shelf_678,2F,13,21
Shelf_679,2F,56,8
Shelf_680,2F,39,30
Shelf_681,3F,45,16
Shelf_682,2F,34,1
Shelf_683,3F,57,10
Shelf_684,3F,48,10
Shelf_685,3F,11,4
Shelf_686,3F,49,23
Shelf_687,2F,9,2
Shelf_688,3F,28,10
Shelf_689,3F,54,20
Shelf_690,2F,27,28
Shelf_691,2F,13,1
Shelf_692,3F,8,20
Shelf_693,2F,40,26
Shelf_694,3F,24,13
Shelf_695,3F,8,12
Shelf_696,3F,27,6
Shelf_697,3F,29,1
Shelf_698,2F,55,18
Shelf_699,2F,37,13
Shelf_700,3F,59,11
Shelf_701,3F,54,10
Shelf_702,3F,38,2
Shelf_703,3F,38,8
Shelf_704,3F,57,8
Shelf_705,3F,57,5
Shelf_706,2F,44,8
Shelf_707,2F,26,8
Shelf_708,2F,35,2
Shelf_709,3F,22,1
Shelf_710,2F,10,20
Shelf_711,3F,47,14
Shelf_712,3F,32,10
Shelf_713,3F,47,20
Shelf_714,3F,32,14
Shelf_715,3F,36,20
Shelf_716,2F,13,5
Shelf_717,2F,12,10
Shelf_718,3F,38,21
Shelf_719,2F,24,4
Shelf_720,3F,37,5
Shelf_721,3F,46,9
Shelf_722,3F,36,10
Shelf_723,2F,10,2
Shelf_724,2F,27,4
Shelf_725,3F,18,12
Shelf_726,3F,35,5
Shelf_727,3F,46,23
Shelf_728,2F,26,2
Shelf_729,2F,35,1
Shelf_730,3F,29,4
Shelf_731,2F,19,8
Shelf_732,2F,36,14
Shelf_733,2F,33,4
Shelf_734,2F,39,18
Shelf_735,2F,30,14
Shelf_736,2F,18,9
Shelf_737,2F,36,9
Shelf_738,2F,44,20
Shelf_739,3F,15,8
Shelf_740,2F,19,4
Shelf_741,3F,48,5
Shelf_742,2F,40,1
Shelf_743,2F,12,8
Shelf_744,3F,44,20
Shelf_745,3F,57,21
Shelf_746,3F,24,4
Shelf_747,2F,12,18
Shelf_748,2F,26,27
Shelf_749,2F,24,12
Shelf_750,3F,41,5
Shelf_751,2F,20,14
Shelf_752,2F,28,13
Shelf_753,3F,32,27
Shelf_754,3F,16,20
Shelf_755,2F,26,13
Shelf_756,3F,15,24
Shelf_757,3F,12,6
Shelf_758,2F,48,5
Shelf_759,3F,32,1
Shelf_760,3F,21,2
Shelf_761,2F,37,12
Shelf_762,3F,44,10
Shelf_763,3F,28,6
Shelf_764,2F,45,21
Shelf_765,3F,13,14
Shelf_766,2F,26,14
Shelf_767,2F,32,5
Shelf_768,2F,39,2
Shelf_769,3F,37,13
Shelf_770,3F,37,26
Shelf_771,3F,14,14
Shelf_772,2F,33,26
Shelf_773,2F,31,5
Shelf_774,3F,41,10
Shelf_775,2F,24,20
Shelf_776,3F,52,23
Shelf_777,2F,49,4
Shelf_778,2F,52,20
Shelf_779,2F,59,10
Shelf_780,2F,19,12
Shelf_781,3F,24,9
Shelf_782,2F,45,5
Shelf_783,3F,40,23
Shelf_784,3F,46,16
Shelf_785,3F,52,21
Shelf_786,3F,29,9
Shelf_787,3F,55,20
Shelf_788,3F,31,12
Shelf_789,3F,21,17
Shelf_790,3F,16,8
Shelf_791,2F,44,1
Shelf_792,3F,36,23
Shelf_793,2F,31,14
Shelf_794,2F,14,16
Shelf_795,3F,22,16
Shelf_796,3F,26,9
Shelf_797,2F,28,2
Shelf_798,2F,46,12
Shelf_799,2F,35,18
Shelf_800,2F,10,23
Shelf_801,2F,40,17
Shelf_802,2F,28,10
Shelf_803,3F,54,17
Shelf_804,3F,31,8
Shelf_805,3F,37,24
Shelf_806,2F,29,5
Shelf_807,2F,41,14
Shelf_808,2F,22,1
Shelf_809,3F,28,27
Shelf_810,2F,18,17
Shelf_811,2F,41,2
Shelf_812,3F,27,14
Shelf_813,2F,31,21
Shelf_814,3F,37,10
Shelf_815,3F,39,24
Shelf_816,2F,44,16
Shelf_817,2F,30,9
Shelf_818,3F,30,8
Shelf_819,3F,37,12
Shelf_820,2F,33,10
Shelf_821,3F,22,17
Shelf_822,2F,14,10
Shelf_823,2F,48,21
Shelf_824,3F,37,30
Shelf_825,2F,21,18
Shelf_826,3F,29,16
Shelf_827,2F,42,5
Shelf_828,2F,53,2
Shelf_829,3F,29,5
Shelf_830,3F,41,12
Shelf_831,2F,33,6
Shelf_832,3F,35,8
Shelf_833,3F,39,1
Shelf_834,2F,56,23
Shelf_835,3F,47,9
Shelf_836,3F,38,30
Shelf_837,2F,15,8
Shelf_838,3F,8,6
Shelf_839,3F,30,9
Shelf_840,2F,55,5
Shelf_841,3F,38,12
Shelf_842,2F,15,20
Shelf_843,3F,29,21
Shelf_844,3F,12,5
Shelf_845,2F,58,1
Shelf_846,3F,30,2
Shelf_847,3F,41,21
Shelf_848,2F,21,9
Shelf_849,3F,49,6
Shelf_850,3F,12,1
Shelf_851,2F,53,4
Shelf_852,3F,27,26
Shelf_853,2F,31,2
Shelf_854,3F,23,6
Shelf_855,2F,22,14
Shelf_856,3F,47,5
Shelf_857,2F,16,16
Shelf_858,3F,26,23
Shelf_859,2F,47,14
Shelf_860,2F,10,8
Shelf_861,3F,53,1
Shelf_862,2F,54,10
Shelf_863,3F,45,17
Shelf_864,3F,33,30
Shelf_865,3F,22,21
Shelf_866,3F,16,10
Shelf_867,2F,36,27
Shelf_868,3F,42,9
Shelf_869,3F,19,4
Shelf_870,3F,48,6
Shelf_871,3F,47,2
Shelf_872,3F,40,1
Shelf_873,3F,23,17
Shelf_874,3F,48,16
Shelf_875,3F,42,20
Shelf_876,2F,25,30
Shelf_877,2F,22,17
Shelf_878,2F,41,30
Shelf_879,3F,30,18
Shelf_880,3F,26,14
Shelf_881,2F,26,23
Shelf_882,2F,9,13
Shelf_883,2F,40,14
Shelf_884,2F,9,10
Shelf_885,2F,28,1
Shelf_886,3F,45,5
Shelf_887,3F,42,16
Shelf_888,3F,33,20
Shelf_889,2F,48,23
Shelf_890,3F,29,28
Shelf_891,2F,18,6
Shelf_892,3F,41,13
Shelf_893,3F,18,20
Shelf_894,2F,42,21
Shelf_895,2F,30,17
Shelf_896,2F,20,21
Shelf_897,2F,50,21
Shelf_898,2F,54,8
Shelf_899,3F,19,13
Shelf_900,3F,11,9
Shelf_901,2F,32,13
Shelf_902,3F,8,8
Shelf_903,3F,28,30
Shelf_904,2F,9,17
Shelf_905,2F,42,18
Shelf_906,2F,58,2
Shelf_907,3F,45,8
Shelf_908,2F,50,2
Shelf_909,3F,59,4
Shelf_910,3F,44,2
Shelf_911,2F,49,14
Shelf_912,2F,32,6
Shelf_913,3F,59,14
Shelf_914,3F,50,21
Shelf_915,3F,39,6
Shelf_916,3F,23,2
Shelf_917,2F,29,16
Shelf_918,2F,54,4
Shelf_919,3F,37,1
Shelf_920,3F,50,16
Shelf_921,2F,11,18
Shelf_922,3F,21,5
Shelf_923,3F,19,14
Shelf_924,3F,18,23
Shelf_925,2F,9,9
Shelf_926,3F,44,16
Shelf_927,3F,40,30
Shelf_928,3F,27,13
Shelf_929,2F,39,21
Shelf_930,2F,35,26
Shelf_931,2F,53,1
Shelf_932,2F,16,1
Shelf_933,3F,32,18
Shelf_934,2F,20,5
Shelf_935,3F,38,5
Shelf_936,2F,52,17
Shelf_937,2F,59,15
Shelf_938,2F,57,9
Shelf_939,2F,44,14
Shelf_940,3F,45,4
Shelf_941,3F,48,8
Shelf_942,3F,38,20
Shelf_943,3F,31,9
Shelf_944,2F,10,12
Shelf_945,2F,28,21
Shelf_946,3F,16,12
Shelf_947,3F,49,1
Shelf_948,2F,28,4
Shelf_949,3F,28,18
Shelf_950,2F,19,2
Shelf_951,2F,13,17
Shelf_952,3F,29,17
Shelf_953,2F,26,28
Shelf_954,3F,11,18
Shelf_955,3F,8,21
Shelf_956,3F,24,23
Shelf_957,3F,28,5
Shelf_958,3F,26,6
Shelf_959,3F,45,2
Shelf_960,2F,15,14
Shelf_961,2F,22,6
Shelf_962,3F,26,1
Shelf_963,2F,9,6
Shelf_964,3F,27,24
Shelf_965,2F,38,5
Shelf_966,2F,40,18
Shelf_967,3F,19,1
Shelf_968,3F,41,24
Shelf_969,2F,27,26
Shelf_970,2F,28,14
Shelf_971,2F,47,23
Shelf_972,2F,36,6
Shelf_973,3F,54,1
Shelf_974,3F,36,8
Shelf_975,3F,8,14
Shelf_976,2F,41,26
Shelf_977,3F,45,12
Shelf_978,2F,43,1
Shelf_979,3F,13,13
Shelf_980,3F,19,23
Shelf_981,3F,30,16
Shelf_982,3F,54,13
Shelf_983,2F,40,23
Shelf_984,2F,16,24
Shelf_985,2F,8,10
Shelf_986,2F,10,5
Shelf_987,2F,55,14
Shelf_988,3F,21,9
Shelf_989,3F,42,17
Shelf_990,3F,27,21
Shelf_991,2F,49,9
Shelf_992,2F,46,4
Shelf_993,2F,16,17
Shelf_994,2F,39,27
Shelf_995,3F,41,1
Shelf_996,3F,18,9
Shelf_997,2F,50,1
